MovieID,Title,Genre,ReleaseYear,ReleaseDate,Country,BudgetUSD,US_BoxOfficeUSD,Global_BoxOfficeUSD,Opening_Day_SalesUSD,One_Week_SalesUSD,IMDbRating,RottenTomatoesScore,NumVotesIMDb,NumVotesRT,Director,LeadActor
1,Might toward capital,Comedy,2003,28-09-2003,China,6577427.79,6613685.82,15472035.66,1778530.85,3034053.32,6.2,58,7865,10596,Kristina Moore,Brian Mccormick
2,He however experience,Comedy,1988,14-02-1988,USA,1883810.1,1930949.15,3637731.12,247115.74,831828.84,5.2,44,1708,220,Benjamin Hudson,Ashley Pena
3,Star responsibility politics,Comedy,1971,02-11-1971,USA,2468079.29,4186694.69,7165111.24,878453.95,2171405.93,5.5,55,4678,7805,Kayla Young,Alexander Haley
4,Exactly live,Comedy,1998,06-08-1998,USA,1447311.46,2023683.92,4373820.26,570657.72,898886.01,7.3,87,2467,1751,Michael Ross,Patrick Barnett
5,Focus improve especially,Documentary,2021,17-12-2021,India,900915.86,2129629.1,3113017.38,361189.37,861775.91,6.1,67,5555,697,Faith Franklin,Duane Fletcher DDS
6,Deal reveal fine,Drama,1996,09-05-1996,USA,6356058.11,6790420.62,12332192.7,1877251.88,3681524.22,8.9,100,362,229,Thomas Peterson,Carolyn Calhoun
7,Drug when,Comedy,1991,24-09-1991,USA,30881640.04,35569499.73,61633322.7,5771559.63,21305870.04,3.6,39,556,98,Maria Lane,Melissa Cain
8,Almost option of,Horror,1990,04-08-1990,USA,5249748.92,3569563.24,6059156.85,429972.59,1513066.66,7.3,75,283,1219,Diane Skinner,Catherine Willis
9,Film about training,Drama,1983,12-03-1983,USA,4746218.15,6361493.82,9506139.9,1612321.12,2977114.88,6.9,69,1041,1467,Albert Phillips,Ashley Reeves
10,Begin difficult world,Documentary,2005,06-09-2005,USA,1354686.21,3837061.91,6747065.42,440667.37,2031776.94,8.4,87,10079,514,Francisco Ford,Richard Miller
11,Eight,Documentary,1999,17-09-1999,USA,3667201.98,7945886.26,12490413.6,1360084.0,4090873.55,6.7,63,426,456,Mark Brooks,Jacqueline Cooper
12,Score by attorney,Comedy,2001,29-06-2001,India,995578.82,2120910.3,3771450.73,438402.43,1180655.22,8.7,86,22577,1782,Robert Webster,Nicholas Richards
13,Nice piece near,Drama,1984,18-07-1984,USA,3474516.1,1921326.86,4720393.32,264115.44,834339.97,4.4,43,23965,445,Michelle Collins,Paige Gonzalez
14,Among money,Drama,1967,29-05-1967,USA,2003466.13,2801289.0,5618102.9,538865.31,1584090.22,4.6,55,2457,1664,Philip Simmons,Kristy Faulkner
